origin,model,wmape,wmape_h1_7,wmape_h8_14,wmape_h15_21,wmape_h22_28
2018-04-01,lightgbm,0.48482094555804356,0.41159860782784313,0.5006759367162559,0.46327904204327675,0.49825929094639315
2018-04-01,naive_7,0.6485605390656917,0.5018745974790689,0.7406669985067198,0.6726013440500571,0.6293541484016327
2018-04-01,seasonal_naive_364,0.642688503180481,0.639962278038458,0.667199357278213,0.6600356080643004,0.5888081299433431
2018-04-01,ma_28,0.4883646826562237,0.3271369754084355,0.5448810553012696,0.5687267250137095,0.5261232069965348
2018-07-01,lightgbm,0.4206793256229349,0.4054607324149367,0.40383108235593945,0.43725582090234677,0.41072166537923444
2018-07-01,naive_7,0.5715232744228419,0.4861446106019188,0.5004402521206204,0.5905437710255605,0.626824415293515
2018-07-01,seasonal_naive_364,0.5246022982615609,0.5613621339622304,0.5320337904399906,0.5148030763572642,0.5180684133395289
2018-07-01,ma_28,0.4532227487050237,0.4256885581053454,0.387349632417501,0.4608590404695199,0.46582737180370953
2018-10-01,lightgbm,0.42312524571142784,0.4501737199070279,0.46592793815873157,0.43398332837827697,0.48125577515695295
2018-10-01,naive_7,0.5933139521794792,0.6742131795267723,0.5473406023009606,0.6395731067849936,0.6225241754771179
2018-10-01,seasonal_naive_364,0.5146641892409082,0.6826831372905218,0.603725214033644,0.4544509169743811,0.5108056487149023
2018-10-01,ma_28,0.4049888389339494,0.34182816139308264,0.4486534022702148,0.4397183924904664,0.4623620424061824
2019-01-15,lightgbm,0.3934876502569144,0.2516089428960434,0.4764822462188186,0.3904652243424528,0.375622325121891
2019-01-15,naive_7,0.4548707286779045,0.4648542184624326,0.433561344203619,0.39320485965647256,0.562394372148048
2019-01-15,seasonal_naive_364,0.4966264288250082,0.39672596945529687,0.5904951282561145,0.47840385421030585,0.47963495014365387
2019-01-15,ma_28,0.442747801244698,0.26377325331992596,0.4374104479731841,0.3458809623556167,0.5015744208575774
